20260622	4291318	cmp-a001-02-000000010432615	grp-a001-02-000000064422129	-	nad-a001-02-000000494209013	bsn-a001-00-000000013604308	10	04	684926	M	2	purchase	1	70470
20260622	4291318	cmp-a001-02-000000010764328	grp-a001-02-000000069047580	-	nad-a001-02-000000541754005	bsn-a001-00-000000013604308	12	04	8753	M	1	add_to_cart	1	53000
20260622	4291318	cmp-a001-02-000000010764328	grp-a001-02-000000069047580	-	nad-a001-02-000000541754005	bsn-a001-00-000000013604308	12	09	8753	M	1	add_to_cart	1	53000
