4291318	nad-a001-02-000000477780221	4
4291318	nad-a001-02-000000477780222	4
4291318	nad-a001-02-000000477780223	4
4291318	nad-a001-02-000000494208903	5
4291318	nad-a001-02-000000494208904	5
4291318	nad-a001-02-000000494208905	5
4291318	nad-a001-02-000000494208906	5
4291318	nad-a001-02-000000494208907	5
4291318	nad-a001-02-000000494208908	5
4291318	nad-a001-02-000000494208909	5
4291318	nad-a001-02-000000494208910	6
4291318	nad-a001-02-000000494208911	6
4291318	nad-a001-02-000000494209012	5
4291318	nad-a001-02-000000494209013	5
4291318	nad-a001-02-000000494209014	5
4291318	nad-a001-02-000000494209016	5
4291318	nad-a001-02-000000494209017	5
4291318	nad-a001-02-000000494209019	6
4291318	nad-a001-02-000000494209020	6
4291318	nad-a001-02-000000494209021	6
4291318	nad-a001-02-000000494209022	6
