20260727	4291318	cmp-a001-02-000000010432615	grp-a001-02-000000064422129	-	nad-a001-02-000000494209013	bsn-a001-00-000000013604308	00	02	684926	M	2	add_to_cart	1	40000
20260727	4291318	cmp-a001-02-000000010764328	grp-a001-02-000000069047580	-	nad-a001-02-000000541753996	bsn-a001-00-000000013604308	16	06	27758	P	2	purchase	1	99000
20260727	4291318	cmp-a001-02-000000010764328	grp-a001-02-000000069047580	-	nad-a001-02-000000541753996	bsn-a001-00-000000013604308	16	06	27758	P	2	add_to_cart	1	135000
